Category,Location,Keyword,Name,URL
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Pho Hung,https://www.google.com/maps/place/Pho+Hung/data=!4m7!3m6!1s0x31752f19d15e3a81:0xdcd7728d53d90a88!8m2!3d10.7649002!4d106.687693!16s%2Fg%2F11bwg6pds7!19sChIJgTpe0RkvdTERiArZU41y19w?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Pho Viet Nam,https://www.google.com/maps/place/Pho+Viet+Nam/data=!4m7!3m6!1s0x31752fba354e2425:0xa794a1a48ee7a0ca!8m2!3d10.771386!4d106.6961339!16s%2Fg%2F11sbfdzrgc!19sChIJJSRONbovdTERyqDnjqShlKc?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phu Vuong Pho,https://www.google.com/maps/place/Phu+Vuong+Pho/data=!4m7!3m6!1s0x31752f3fe8f7e83d:0xc9d55225beeb91f!8m2!3d10.7683844!4d106.6985582!16s%2Fg%2F11bzr66btd!19sChIJPej36D8vdTERH7nuWyJVnQw?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Phượng,https://www.google.com/maps/place/Ph%E1%BB%9F+Ph%C6%B0%E1%BB%A3ng/data=!4m7!3m6!1s0x31752945b4a30467:0x7c42e467e06eead6!8m2!3d10.7919219!4d106.7044668!16s%2Fg%2F11mb0gh4z_!19sChIJZwSjtEUpdTER1upu4GfkQnw?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Bê Thanh Đa,https://www.google.com/maps/place/Ph%E1%BB%9F+B%C3%AA+Thanh+%C4%90a/data=!4m7!3m6!1s0x31752990a2a81a2f:0xce0d313fc8c60725!8m2!3d10.7918934!4d106.704587!16s%2Fg%2F11rkhz9dsc!19sChIJLxqoopApdTERJQfGyD8xDc4?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Xưởng Phở 118 - Lẩu Bò,https://www.google.com/maps/place/X%C6%B0%E1%BB%9Fng+Ph%E1%BB%9F+118+-+L%E1%BA%A9u+B%C3%B2/data=!4m7!3m6!1s0x31752f966be65d47:0x344d9333f4396449!8m2!3d10.7695597!4d106.6922183!16s%2Fg%2F11tnrpv3vd!19sChIJR13ma5YvdTERSWQ59DOTTTQ?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Cao Vân,https://www.google.com/maps/place/Ph%E1%BB%9F+Cao+V%C3%A2n/data=!4m7!3m6!1s0x31752f35f19a3ecd:0x58cb02188cf99385!8m2!3d10.784713!4d106.699285!16s%2Fg%2F11cl_4grh1!19sChIJzT6a8TUvdTERhZP5jBgCy1g?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Minh,https://www.google.com/maps/place/Ph%E1%BB%9F+Minh/data=!4m7!3m6!1s0x31752f4764af0cbf:0xec9c126596ecdfa3!8m2!3d10.774811!4d106.700278!16s%2Fg%2F11bwc_z_c2!19sChIJvwyvZEcvdTERo9_slmUSnOw?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Sâm Ngọc Linh - Nguyễn Huệ,https://www.google.com/maps/place/Ph%E1%BB%9F+S%C3%A2m+Ng%E1%BB%8Dc+Linh+-+Nguy%E1%BB%85n+Hu%E1%BB%87/data=!4m7!3m6!1s0x31752f2bed77dc0f:0xf3ed06df3b2b4db6!8m2!3d10.7734076!4d106.7047913!16s%2Fg%2F11vt9pq2fw!19sChIJD9x37SsvdTERtk0rO98G7fM?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Ông Cát Gia Truyền Since 1988,https://www.google.com/maps/place/Ph%E1%BB%9F+%C3%94ng+C%C3%A1t+Gia+Truy%E1%BB%81n+Since+1988/data=!4m7!3m6!1s0x31752f53c8b37ffd:0x8b2147a6b458d22f!8m2!3d10.768487!4d106.6930859!16s%2Fg%2F11tdqdtcgk!19sChIJ_X-zyFMvdTERL9JYtKZHIYs?authuser=0&hl=en&rclk=1
