Category,Location,Keyword,Name,URL
nhà hàng,"Quận 1, TP. Hồ Chí Minh","nhà hàng ở Quận 1, TP. Hồ Chí Minh",Ẩm Thực Chay Tuệ - Trần Hưng Đạo,https://www.google.com/maps/place/%E1%BA%A8m+Th%E1%BB%B1c+Chay+Tu%E1%BB%87+-+Tr%E1%BA%A7n+H%C6%B0ng+%C4%90%E1%BA%A1o/data=!4m7!3m6!1s0x31752f1d9ffd715d:0x677402ed6d5f410e!8m2!3d10.7637791!4d106.6913661!16s%2Fg%2F11stzy_4ff!19sChIJXXH9nx0vdTERDkFfbe0CdGc?authuser=0&hl=en&rclk=1
nhà hàng,"Quận 1, TP. Hồ Chí Minh","nhà hàng ở Quận 1, TP. Hồ Chí Minh",Cửa hàng thực phẩm hữu cơ Organica Quận 3,https://www.google.com/maps/place/C%E1%BB%ADa+h%C3%A0ng+th%E1%BB%B1c+ph%E1%BA%A9m+h%E1%BB%AFu+c%C6%A1+Organica+Qu%E1%BA%ADn+3/data=!4m7!3m6!1s0x31752f056213fca5:0xbc4c14410cf92cf9!8m2!3d10.7839139!4d106.6950145!16s%2Fg%2F11fl4lqlbp!19sChIJpfwTYgUvdTER-Sz5DEEUTLw?authuser=0&hl=en&rclk=1
nhà hàng,"Quận 1, TP. Hồ Chí Minh","nhà hàng ở Quận 1, TP. Hồ Chí Minh",Hàng Dương Quán Q1,https://www.google.com/maps/place/H%C3%A0ng+D%C6%B0%C6%A1ng+Qu%C3%A1n+Q1/data=!4m7!3m6!1s0x3168532aa82ab9f1:0x5f471336cc2918b1!8m2!3d10.773527!4d106.7053407!16s%2Fg%2F1pzpkw6tp!19sChIJ8bkqqCpTaDERsRgpzDYTR18?authuser=0&hl=en&rclk=1
nhà hàng,"Quận 1, TP. Hồ Chí Minh","nhà hàng ở Quận 1, TP. Hồ Chí Minh",Ngon Restaurant,https://www.google.com/maps/place/Ngon+Restaurant/data=!4m7!3m6!1s0x31752f48d88c3da3:0xbd0b6eeb085c542c!8m2!3d10.7774178!4d106.6996655!16s%2Fg%2F1tyzwh69!19sChIJoz2M2EgvdTERLFRcCOtuC70?authuser=0&hl=en&rclk=1
nhà hàng,"Quận 1, TP. Hồ Chí Minh","nhà hàng ở Quận 1, TP. Hồ Chí Minh",Nhà hàng Phố 79 (Chi nhánh 01),https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Ph%E1%BB%91+79+%28Chi+nh%C3%A1nh+01%29/data=!4m7!3m6!1s0x31752f3cc5800b5f:0x93508afa2a0fa35c!8m2!3d10.7714413!4d106.6889478!16s%2Fg%2F11ysrqcw5!19sChIJXwuAxTwvdTERXKMPKvqKUJM?authuser=0&hl=en&rclk=1
nhà hàng,"Quận 1, TP. Hồ Chí Minh","nhà hàng ở Quận 1, TP. Hồ Chí Minh",Nhà hàng Dìn Ký,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+D%C3%ACn+K%C3%BD/data=!4m7!3m6!1s0x31752f3d0c7df3a5:0xfec910ace567d42!8m2!3d10.7691776!4d106.690477!16s%2Fg%2F1tdp73b4!19sChIJpfN9DD0vdTERQn1WzgqR7A8?authuser=0&hl=en&rclk=1
nhà hàng,"Quận 1, TP. Hồ Chí Minh","nhà hàng ở Quận 1, TP. Hồ Chí Minh",Nhà hàng hải sản & lẩu Yeebo (Quận 1) - Yeebo Seafood and Hotpot Restaurant (District 1),https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+h%E1%BA%A3i+s%E1%BA%A3n+%26+l%E1%BA%A9u+Yeebo+%28Qu%E1%BA%ADn+1%29+-+Yeebo+Seafood+and+Hotpot+Restaurant+%28District+1%29/data=!4m7!3m6!1s0x31752f4ecb1adacb:0xd38d885d98cfe8c!8m2!3d10.7817787!4d106.7059981!16s%2Fg%2F1tfwmg15!19sChIJy9oay04vdTERjP6M2YXYOA0?authuser=0&hl=en&rclk=1
nhà hàng,"Quận 1, TP. Hồ Chí Minh","nhà hàng ở Quận 1, TP. Hồ Chí Minh",Nhà Hàng Lúa Đại Việt,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+L%C3%BAa+%C4%90%E1%BA%A1i+Vi%E1%BB%87t/data=!4m7!3m6!1s0x31752f00f7377541:0xaf232af8525bdd27!8m2!3d10.767449!4d106.693858!16s%2Fg%2F11t6421078!19sChIJQXU39wAvdTERJ91bUvgqI68?authuser=0&hl=en&rclk=1
nhà hàng,"Quận 1, TP. Hồ Chí Minh","nhà hàng ở Quận 1, TP. Hồ Chí Minh",Lac Thai Restaurant,https://www.google.com/maps/place/Lac+Thai+Restaurant/data=!4m7!3m6!1s0x31752f46ed624351:0x926e0ee982909f3e!8m2!3d10.7746015!4d106.7042242!16s%2Fg%2F1thp5h9l!19sChIJUUNi7UYvdTERPp-QgukObpI?authuser=0&hl=en&rclk=1
món Việt,"Quận 1, TP. Hồ Chí Minh","món Việt ở Quận 1, TP. Hồ Chí Minh",Nhà Hàng Maison Mận-Đỏ,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Maison+M%E1%BA%ADn-%C4%90%E1%BB%8F/data=!4m7!3m6!1s0x31752615cbb637cd:0x58d42231236126da!8m2!3d10.7931422!4d106.690195!16s%2Fg%2F11gdry1ywx!19sChIJzTe2yxUmdTER2iZhIzEi1Fg?authuser=0&hl=en&rclk=1
